,Symbol,Company,Year,Quarter,Number of Workers,Number of Layoffs,statement_date,revenue,costOfRevenue,grossProfit,grossProfitRatio,ResearchAndDevelopmentExpenses,GeneralAndAdministrativeExpenses,SellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,EBITDA,EBITDARatio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,EPS,EPSDiluted,weightedAverageShsOut,weightedAverageShsOutDil,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferrredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,netIncome_cash-flow-statement,depreciationAndAmortization_cash-flow-statement,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory_cash-flow-statement,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivites,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,employee_count,industry,new_cases,new_cases_smoothed,new_cases_per_million,new_deaths,new_deaths_smoothed,new_deaths_per_million
0,AAL,American Airlines Group Inc. Common Stock,2020,3,6775,2,2020-09-30,3173000000.0,5610000000.0,-2437000000.0,-0.7680428616451308,0.0,0.0,70000000.0,659000000.0,729000000.0,6339000000.0,340000000.0,0.0,-2755000000.0,-0.8682634730538922,-2871000000.0,-0.904821935077214,-224000000.0,-3095000000.0,-0.9754175858808698,-696000000.0,-2399000000.0,-0.7560668137409392,-4.71,-4.71,509049000.0,509049000.0,253000000.0,8031000000.0,8284000000.0,1135000000.0,1633000000.0,1288000000.0,12340000000.0,40235000000.0,4091000000.0,2039000000.0,6130000000.0,0.0,2425000000.0,1643000000.0,50433000000.0,0.0,62773000000.0,1077000000.0,4446000000.0,0.0,6954000000.0,4107000000.0,16584000000.0,36759000000.0,7043000000.0,0.0,7915000000.0,51717000000.0,0.0,68301000000.0,5000000.0,-4487000000.0,-6476000000.0,5430000000.0,-5528000000.0,62773000000.0,0.0,41205000000.0,40952000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2604000000.0,-2604000000.0,0.0,0.0,850000000.0,472000000.0,-399000000.0,923000000.0,-541000000.0,0.0,0.0,0.0,2052000000.0,1511000000.0,0.0,-170000000.0,297000000.0,467000000.0,-2604000000.0,-577000000.0,-3181000000.0,0.0,,50113.8152173913,50152.32138043478,148.1386956521739,890.3152173913044,899.4285543478261,2.6318260869565218
1,AAL,American Airlines Group Inc. Common Stock,2021,1,3920,3,2021-03-31,4008000000.0,6164000000.0,-2156000000.0,-0.5379241516966068,0.0,0.0,151000000.0,716000000.0,867000000.0,7031000000.0,371000000.0,0.0,-1202000000.0,-0.2999001996007984,-1315000000.0,-0.3280938123752495,-258000000.0,-1573000000.0,-0.3924650698602794,-323000000.0,-1250000000.0,-0.31187624750499,-1.97,-1.97,634609000.0,634609000.0,277000000.0,13762000000.0,14039000000.0,971000000.0,1658000000.0,1421000000.0,18089000000.0,38897000000.0,4091000000.0,2019000000.0,6110000000.0,0.0,3632000000.0,1921000000.0,50560000000.0,0.0,68649000000.0,1624000000.0,4039000000.0,0.0,7921000000.0,3749000000.0,17333000000.0,43985000000.0,7055000000.0,0.0,8221000000.0,59261000000.0,0.0,76594000000.0,6000000.0,-7895000000.0,-7036000000.0,6980000000.0,-7945000000.0,68649000000.0,0.0,48024000000.0,47747000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174000000.0,174000000.0,0.0,0.0,-8557000000.0,1415000000.0,-10000000.0,-7152000000.0,-4054000000.0,316000000.0,0.0,0.0,10751000000.0,7013000000.0,0.0,35000000.0,434000000.0,399000000.0,174000000.0,0.0,174000000.0,0.0,,116989.85555555556,120848.29998888887,345.8272666666667,2236.0666666666666,2291.7285555555554,6.609944444444444
2,AAP,Advance Auto Parts Inc.,2020,2,94,1,2020-07-11,2501380000.0,1404666000.0,1096714000.0,0.4384435791443123,0.0,0.0,0.0,0.0,833869000.0,2238535000.0,13422000.0,56642000.0,322604000.0,0.1289704083345993,262845000.0,0.105079995842295,-10305000.0,252540000.0,0.100960269930998,62580000.0,189960000.0,0.0759420799718555,2.75,2.74,69118000.0,69294000.0,1141502000.0,0.0,1141502000.0,742346000.0,4358489000.0,153188000.0,6395525000.0,3804012000.0,990396000.0,692482000.0,1682878000.0,0.0,0.0,48250000.0,5535140000.0,0.0,11930665000.0,3310073000.0,0.0,0.0,0.0,1127486000.0,4437559000.0,3281740000.0,0.0,338086000.0,146761000.0,3766587000.0,0.0,8204146000.0,8000.0,3971507000.0,-43939000.0,-201057000.0,3726519000.0,11930665000.0,0.0,3281740000.0,2140238000.0,189960000.0,56642000.0,4435000.0,10029000.0,174910000.0,0.0,172793000.0,3599000.0,-34176000.0,1326000.0,437302000.0,-57132000.0,0.0,0.0,0.0,234000.0,-56898000.0,-500000000.0,783000.0,-1442000.0,-17424000.0,-1052000.0,-519135000.0,395000.0,-138336000.0,1141502000.0,1279838000.0,437302000.0,-57132000.0,380170000.0,0.0,,26741.42857142857,26039.981153846154,79.04887912087912,1372.7802197802198,1360.8492857142858,4.058054945054945
3,ABBV,AbbVie Inc. Common Stock,2021,3,26,1,2021-09-30,14342000000.0,4390000000.0,9952000000.0,0.6939060103193418,1673000000.0,0.0,0.0,500000000.0,5256000000.0,9646000000.0,596000000.0,2127000000.0,6410000000.0,0.4469390601031934,4306000000.0,0.3002370659601171,-618000000.0,3688000000.0,0.2571468414447078,508000000.0,3179000000.0,0.2216566727095244,1.798273,1.78,1767806892.0,1777000000.0,12182000000.0,67000000.0,12249000000.0,9281000000.0,3094000000.0,4333000000.0,28957000000.0,5130000000.0,32296000000.0,77456000000.0,109752000000.0,272000000.0,0.0,4747000000.0,119901000000.0,0.0,148858000000.0,0.0,6672000000.0,0.0,0.0,21861000000.0,28533000000.0,74049000000.0,0.0,3602000000.0,29097000000.0,106748000000.0,0.0,135281000000.0,18000000.0,1600000000.0,-3156000000.0,15088000000.0,13550000000.0,148831000000.0,339000000.0,80721000000.0,68539000000.0,3179000000.0,2127000000.0,-34000000.0,135000000.0,1708000000.0,590000000.0,219000000.0,1146000000.0,-66000000.0,820000000.0,7935000000.0,-217000000.0,-492000000.0,-17000000.0,23000000.0,88000000.0,-615000000.0,-2201000000.0,0.0,-6000000.0,-2315000000.0,879000000.0,-3643000000.0,-41000000.0,3636000000.0,12182000000.0,8546000000.0,7935000000.0,-217000000.0,7718000000.0,0.0,,105140.77173913045,102092.02486956524,310.80082608695653,1035.1304347826087,983.925445652174,3.059891304347826
4,ABG,Asbury Automotive Group Inc Common Stock,2020,2,844,2,2020-06-30,1445100000.0,1202300000.0,242800000.0,0.168016054252301,0.0,123300000.0,28900000.0,8400000.0,160600000.0,1362900000.0,15900000.0,9700000.0,91900000.0,0.0635942149332226,82200000.0,0.0568818766867345,-15900000.0,66300000.0,0.0458791779115632,16700000.0,49600000.0,0.0343228842294651,2.58,2.57,19200000.0,19300000.0,613200000.0,0.0,613200000.0,202800000.0,636400000.0,139300000.0,1591700000.0,1013000000.0,206500000.0,113200000.0,319700000.0,0.0,0.0,10000000.0,1342700000.0,0.0,2934400000.0,299200000.0,594000000.0,0.0,0.0,0.0,893200000.0,1259700000.0,0.0,24700000.0,43700000.0,1328100000.0,0.0,2221300000.0,400000.0,1163600000.0,-6700000.0,-444200000.0,713100000.0,2934400000.0,0.0,1853700000.0,1240500000.0,49600000.0,9700000.0,0.0,3100000.0,355200000.0,1900000.0,455600000.0,0.0,7800000.0,9300000.0,426900000.0,0.0,0.0,0.0,0.0,-9100000.0,-9100000.0,-772200000.0,0.0,-100000.0,0.0,579100000.0,-193200000.0,0.0,224600000.0,613200000.0,388600000.0,426900000.0,-9100000.0,417800000.0,7600.0,,26741.42857142857,26039.981153846154,79.04887912087912,1372.7802197802198,1360.8492857142858,4.058054945054945
5,ABM,ABM Industries Incorporated Common Stock,2020,2,93,1,2020-07-31,1394100000.0,0.0,0.0,0.0,0.0,113700000.0,0.0,1186700000.0,1300400000.0,1300400000.0,13800000.0,24100000.0,117900000.0,0.0845706907682375,93600000.0,0.0671400903808909,-13600000.0,80000000.0,0.05738469263324,24000000.0,56000000.0,0.040169284843268,0.84,0.83,66900000.0,67200000.0,229400000.0,0.0,229400000.0,918000000.0,0.0,164800000.0,1312200000.0,293700000.0,1672100000.0,251200000.0,1923300000.0,10900000.0,0.0,128200000.0,2356100000.0,0.0,3668300000.0,221900000.0,123800000.0,46400000.0,0.0,485300000.0,877400000.0,664200000.0,0.0,25900000.0,649400000.0,1339500000.0,0.0,2216900000.0,700000.0,765900000.0,-30100000.0,714900000.0,1451400000.0,3668300000.0,0.0,788000000.0,558600000.0,56000000.0,24100000.0,-6700000.0,6900000.0,45700000.0,0.0,0.0,-51000000.0,2500000.0,4800000.0,130800000.0,-9800000.0,0.0,0.0,0.0,1000000.0,-8800000.0,-446200000.0,0.0,0.0,-12400000.0,13700000.0,-444900000.0,-3700000.0,-326500000.0,229400000.0,555900000.0,130800000.0,-9800000.0,121000000.0,114000.0,,26741.42857142857,26039.981153846154,79.04887912087912,1372.7802197802198,1360.8492857142858,4.058054945054945
6,ABM,ABM Industries Incorporated Common Stock,2021,2,9,1,2021-07-31,1543100000.0,0.0,0.0,0.0,0.0,0.0,0.0,1298700000.0,1552500000.0,1552500000.0,6300000.0,21900000.0,13000000.0,0.008424599831508,-9400000.0,-0.0060916337243211,-5800000.0,-15200000.0,-0.0098503013414555,-1500000.0,-13700000.0,-0.0088782321301276,-0.2,-0.2,67500000.0,67500000.0,505400000.0,0.0,505400000.0,953200000.0,0.0,141700000.0,1600300000.0,241300000.0,1675500000.0,207700000.0,1883200000.0,11100000.0,38200000.0,123200000.0,2297000000.0,100000.0,3897400000.0,224800000.0,63800000.0,121600000.0,0.0,695300000.0,1105500000.0,743200000.0,0.0,0.0,468300000.0,1211500000.0,0.0,2317000000.0,700000.0,859000000.0,-22900000.0,743600000.0,1580400000.0,3897400000.0,0.0,807000000.0,301600000.0,-13700000.0,21900000.0,-27000000.0,8400000.0,91700000.0,0.0,0.0,137800000.0,-19800000.0,6300000.0,87600000.0,-8400000.0,0.0,0.0,0.0,600000.0,-7800000.0,-22200000.0,0.0,0.0,-12800000.0,24800000.0,-10200000.0,100000.0,69700000.0,505400000.0,435700000.0,87600000.0,-8400000.0,79200000.0,0.0,,35160.42857142857,36779.50389010989,103.9358021978022,523.8351648351648,540.9042307692308,1.5484285714285717
7,ABT,Abbott Laboratories Common Stock,2021,3,310,1,2021-09-30,10928000000.0,4423000000.0,6505000000.0,0.5952598828696926,672000000.0,0.0,0.0,520000000.0,3959000000.0,8382000000.0,133000000.0,847000000.0,3473000000.0,0.317807467057101,2546000000.0,0.2329795021961932,-53000000.0,2493000000.0,0.2281295754026354,393000000.0,2100000000.0,0.1921669106881405,1.18759,1.17,1768286969.0,1789000000.0,9302000000.0,390000000.0,9692000000.0,8539000000.0,5261000000.0,0.0,23492000000.0,8831000000.0,23299000000.0,13312000000.0,36611000000.0,812000000.0,4049000000.0,0.0,50303000000.0,0.0,73795000000.0,4017000000.0,951000000.0,368000000.0,0.0,7531000000.0,12867000000.0,17446000000.0,0.0,0.0,8844000000.0,26290000000.0,0.0,39157000000.0,24285000000.0,30376000000.0,-9240000000.0,-10999000000.0,34422000000.0,73579000000.0,1202000000.0,18397000000.0,9095000000.0,2100000000.0,847000000.0,0.0,114000000.0,-323000000.0,-394000000.0,71000000.0,0.0,0.0,-37000000.0,2701000000.0,-461000000.0,-86000000.0,0.0,0.0,-104000000.0,-651000000.0,-40000000.0,0.0,-579000000.0,-801000000.0,43000000.0,-1377000000.0,-29000000.0,644000000.0,9302000000.0,8658000000.0,2701000000.0,-461000000.0,2240000000.0,0.0,Medical Devices,105140.77173913045,102092.02486956524,310.80082608695653,1035.1304347826087,983.925445652174,3.059891304347826
8,ADI,Analog Devices Inc. Common Stock,2021,1,255,1,2021-05-01,1661407000.0,524770000.0,1136637000.0,0.6841412128394788,302238000.0,0.0,0.0,107786000.0,616636000.0,1141406000.0,43066000.0,198167000.0,717218000.0,0.4316931372023833,519690000.0,0.3128011378307663,-43705000.0,475985000.0,0.2864951213038105,53080000.0,422905000.0,0.2545462972047186,1.15,1.14,368823000.0,372418000.0,1305216000.0,0.0,1305216000.0,814135000.0,641202000.0,142247000.0,2902800000.0,1160586000.0,12282465000.0,3393546000.0,15676011000.0,94033000.0,1448018000.0,306769000.0,18685417000.0,0.0,21588217000.0,279222000.0,1324451000.0,171181000.0,0.0,1001975000.0,2776829000.0,3823595000.0,0.0,1833520000.0,987169000.0,6644284000.0,0.0,9421113000.0,61472000.0,7564054000.0,-182915000.0,4724493000.0,12167104000.0,21588217000.0,0.0,5148046000.0,3842830000.0,422905000.0,198167000.0,-21017000.0,40358000.0,93518000.0,0.0,0.0,0.0,0.0,2431000.0,736362000.0,-59170000.0,0.0,0.0,0.0,-1527000.0,-60697000.0,0.0,0.0,-188814000.0,-254429000.0,23658000.0,-419585000.0,1073000.0,257153000.0,1305216000.0,1048063000.0,736362000.0,-59170000.0,677192000.0,0.0,Semiconductors,116989.85555555556,120848.29998888887,345.8272666666667,2236.0666666666666,2291.7285555555554,6.609944444444444
9,ADM,Archer-Daniels-Midland Company Common Stock,2020,3,116,1,2020-09-30,15126000000.0,14084000000.0,1042000000.0,0.0688880074044691,0.0,0.0,0.0,0.0,636000000.0,14720000000.0,100000000.0,238000000.0,537000000.0,0.03550178500595,406000000.0,0.0268412005817797,-206000000.0,200000000.0,0.0132222662964432,-26000000.0,225000000.0,0.0148750495834986,0.404676,0.4,556000000.0,562000000.0,948000000.0,0.0,948000000.0,4910000000.0,8762000000.0,8146000000.0,22766000000.0,9816000000.0,0.0,0.0,0.0,4771000000.0,0.0,7442000000.0,22029000000.0,0.0,44795000000.0,3347000000.0,462000000.0,198000000.0,6413000000.0,3487000000.0,13907000000.0,7922000000.0,0.0,1344000000.0,2281000000.0,11547000000.0,0.0,25454000000.0,2760000000.0,19311000000.0,-2749000000.0,0.0,19322000000.0,44776000000.0,0.0,8384000000.0,7436000000.0,225000000.0,238000000.0,8000000.0,39000000.0,-1764000000.0,21000000.0,-1069000000.0,430000000.0,-2570000000.0,174000000.0,-1080000000.0,-198000000.0,-91000000.0,1000000.0,1000000.0,2842000000.0,2555000000.0,-1507000000.0,0.0,-5000000.0,-202000000.0,-1000000.0,-1715000000.0,0.0,-240000000.0,4259000000.0,4499000000.0,-1080000000.0,-198000000.0,-1278000000.0,39000.0,,50113.8152173913,50152.32138043478,148.1386956521739,890.3152173913044,899.4285543478261,2.6318260869565218
