,Symbol,Company,Year,Quarter,Number of Workers,Number of Layoffs,statement_date,revenue,costOfRevenue,grossProfit,grossProfitRatio,ResearchAndDevelopmentExpenses,GeneralAndAdministrativeExpenses,SellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,EBITDA,EBITDARatio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,EPS,EPSDiluted,weightedAverageShsOut,weightedAverageShsOutDil,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferrredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,netIncome_cash-flow-statement,depreciationAndAmortization_cash-flow-statement,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory_cash-flow-statement,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivites,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,employee_count,industry
0,AAL,American Airlines Group Inc. Common Stock,2022,4,417,1,2022-12-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440000000.0,8525000000.0,995000000.0,2138000000.0,0.0,12136000000.0,15269000000.0,38294000000.0,4091000000.0,2059000000.0,6150000000.0,0.0,3099000000.0,1904000000.0,49447000000.0,0.0,64716000000.0,2149000000.0,4739000000.0,0.0,0.0,14608000000.0,21496000000.0,38948000000.0,0.0,0.0,10071000000.0,49019000000.0,0.0,70515000000.0,6000000.0,-8511000000.0,-4585000000.0,7291000000.0,-5799000000.0,64716000000.0,0.0,43687000000.0,43247000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,ABBV,AbbVie Inc. Common Stock,2022,1,70,1,2022-03-31,13538000000.0,4052000000.0,9486000000.0,0.7006943418525632,1497000000.0,0.0,0.0,0.0,4624000000.0,8676000000.0,548000000.0,2053000000.0,7527000000.0,0.5559905451322205,4717000000.0,0.3484266509085537,212000000.0,4929000000.0,0.3640862756684887,436000000.0,4490000000.0,0.3316590338306988,2.52,2.51,1771000000.0,1778000000.0,6098000000.0,1474000000.0,7572000000.0,10733000000.0,3483000000.0,4721000000.0,26509000000.0,5075000000.0,32298000000.0,73986000000.0,106284000000.0,260000000.0,0.0,5083000000.0,116702000000.0,0.0,143211000000.0,0.0,9952000000.0,0.0,0.0,22569000000.0,32521000000.0,63522000000.0,0.0,2831000000.0,28023000000.0,94376000000.0,0.0,126897000000.0,18000000.0,5103000000.0,-2984000000.0,14146000000.0,16283000000.0,143180000000.0,1734000000.0,73474000000.0,67376000000.0,4490000000.0,2053000000.0,-194000000.0,306000000.0,-1275000000.0,-785000000.0,-385000000.0,-258000000.0,438000000.0,-472000000.0,4908000000.0,-162000000.0,-185000000.0,-1406000000.0,8000000.0,154000000.0,-1591000000.0,-4879000000.0,0.0,-1470000000.0,-2526000000.0,1903000000.0,-6972000000.0,7000000.0,-3648000000.0,6098000000.0,9746000000.0,4908000000.0,-162000000.0,4746000000.0,0.0,
2,ABBV,AbbVie Inc. Common Stock,2022,3,99,1,2022-09-30,14812000000.0,5022000000.0,9790000000.0,0.660950580610316,1614000000.0,0.0,0.0,229000000.0,5147000000.0,10169000000.0,560000000.0,2205000000.0,7162000000.0,0.48352687010532,4603000000.0,0.3107615446934917,-203000000.0,4400000000.0,0.2970564407237375,448000000.0,3949000000.0,0.2666081555495544,2.22,2.21,1771000000.0,1776000000.0,11832000000.0,47000000.0,11879000000.0,10743000000.0,3172000000.0,4570000000.0,30364000000.0,4893000000.0,31726000000.0,68725000000.0,100451000000.0,235000000.0,0.0,5382000000.0,110961000000.0,0.0,141325000000.0,0.0,9207000000.0,0.0,0.0,23505000000.0,32712000000.0,60399000000.0,0.0,1972000000.0,30215000000.0,92586000000.0,0.0,125298000000.0,18000000.0,4953000000.0,-3443000000.0,0.0,15994000000.0,141292000000.0,282000000.0,69606000000.0,57774000000.0,3952000000.0,2205000000.0,-621000000.0,126000000.0,1338000000.0,357000000.0,-17000000.0,778000000.0,294000000.0,602000000.0,7602000000.0,-177000000.0,-100000000.0,-17000000.0,1410000000.0,170000000.0,1286000000.0,-2701000000.0,0.0,-4000000.0,-2504000000.0,-309000000.0,-5518000000.0,-59000000.0,3311000000.0,11832000000.0,8521000000.0,7602000000.0,-177000000.0,7425000000.0,0.0,
3,ABM,ABM Industries Incorporated Common Stock,2021,4,82,1,2021-01-31,1492400000.0,0.0,0.0,0.0,0.0,0.0,0.0,1260200000.0,1382800000.0,1382800000.0,8500000.0,22300000.0,132600000.0,0.0888501742160278,109700000.0,0.0735057625301527,-7800000.0,101900000.0,0.0682792816939158,27200000.0,74600000.0,0.0499865987670865,1.11,1.1,67200000.0,67600000.0,378300000.0,0.0,378300000.0,955800000.0,0.0,140500000.0,1474600000.0,263500000.0,1674600000.0,229000000.0,1903600000.0,11800000.0,0.0,128700000.0,2307600000.0,0.0,3782200000.0,217500000.0,150800000.0,146000000.0,0.0,503500000.0,1017800000.0,699100000.0,0.0,3700000.0,492400000.0,1195200000.0,0.0,2213000000.0,700000.0,867500000.0,-25900000.0,726900000.0,1569200000.0,3782200000.0,0.0,849900000.0,471600000.0,74600000.0,22300000.0,-7400000.0,8500000.0,-54400000.0,0.0,0.0,-3000000.0,-4600000.0,1700000.0,45300000.0,-6600000.0,0.0,0.0,0.0,1400000.0,-5200000.0,-33300000.0,0.0,0.0,-12700000.0,-11800000.0,-57800000.0,1900000.0,-15900000.0,378300000.0,394200000.0,45300000.0,-6600000.0,38700000.0,0.0,
4,ABM,ABM Industries Incorporated Common Stock,2022,3,92,1,2022-10-31,2011100000.0,0.0,2011100000.0,1.0,0.0,0.0,0.0,1593400000.0,1753100000.0,0.0,16000000.0,30000000.0,109800000.0,0.0545969867236835,79100000.0,0.0393317090149669,-15400000.0,63700000.0,0.0316742081447963,14900000.0,48900000.0,0.0243150514643727,0.74,0.73,66400000.0,66900000.0,73000000.0,0.0,73000000.0,1278700000.0,0.0,209500000.0,1561200000.0,240600000.0,2485600000.0,378500000.0,2864100000.0,14500000.0,0.0,188500000.0,3307700000.0,0.0,4868900000.0,315500000.0,211800000.0,124700000.0,0.0,701200000.0,1353200000.0,1190800000.0,0.0,89700000.0,518000000.0,1798500000.0,0.0,3151700000.0,700000.0,1110600000.0,-16200000.0,606600000.0,1717200000.0,4868900000.0,0.0,1402600000.0,1329600000.0,48800000.0,30000000.0,28000000.0,6100000.0,117100000.0,-50100000.0,0.0,0.0,0.0,-112900000.0,117100000.0,-13000000.0,0.0,900000.0,0.0,-900000.0,-13000000.0,-422200000.0,0.0,-23000000.0,-12900000.0,499400000.0,41300000.0,-1000000.0,9100000.0,73000000.0,63900000.0,117100000.0,-13000000.0,104100000.0,0.0,
5,ADI,Analog Devices Inc. Common Stock,2022,2,61,1,2022-07-30,3109880000.0,1066738000.0,2043142000.0,0.6569841923161023,431829000.0,0.0,0.0,252864000.0,1011635000.0,2078373000.0,51189000.0,578969000.0,1478095000.0,0.4752900433457239,893306000.0,0.2872477394626159,-45369000.0,847937000.0,0.2726590736620062,98952000.0,748985000.0,0.2408404825909681,1.45,1.44,517011000.0,520550000.0,1524960000.0,0.0,1524960000.0,1742646000.0,1203394000.0,218708000.0,4689708000.0,2180048000.0,26920335000.0,13764444000.0,40684779000.0,0.0,2297122000.0,494513000.0,45656462000.0,0.0,50346170000.0,545068000.0,0.0,445726000.0,0.0,1450407000.0,2441201000.0,6252839000.0,0.0,3764370000.0,1249169000.0,11266378000.0,0.0,13707579000.0,85725000.0,8175444000.0,-212634000.0,28590056000.0,36638591000.0,50346170000.0,0.0,6252839000.0,4727879000.0,748985000.0,578969000.0,-82136000.0,84874000.0,-183350000.0,0.0,0.0,0.0,0.0,100504000.0,1247846000.0,-164884000.0,0.0,0.0,0.0,30751000.0,-134133000.0,-400000000.0,0.0,-905972000.0,-394018000.0,381584000.0,-1318406000.0,-8080000.0,-212773000.0,1524960000.0,1737733000.0,1247846000.0,-164884000.0,1082962000.0,0.0,Semiconductors
6,ADM,Archer-Daniels-Midland Company Common Stock,2022,3,65,1,2022-09-30,24683000000.0,22872000000.0,1811000000.0,0.0733703358586881,0.0,0.0,0.0,0.0,818000000.0,23690000000.0,97000000.0,260000000.0,1581000000.0,0.0640521816634931,993000000.0,0.0402301178949074,237000000.0,1230000000.0,0.0498318680873475,193000000.0,1031000000.0,0.0417696390228092,1.84,1.83,561000000.0,563000000.0,1099000000.0,0.0,1099000000.0,7144000000.0,13282000000.0,13044000000.0,34569000000.0,10588000000.0,0.0,0.0,6364000000.0,5429000000.0,0.0,1354000000.0,23735000000.0,0.0,58304000000.0,6543000000.0,1348000000.0,352000000.0,10782000000.0,3911000000.0,22936000000.0,8394000000.0,0.0,1639000000.0,1016000000.0,11049000000.0,0.0,33985000000.0,3110000000.0,23099000000.0,-2212000000.0,0.0,23997000000.0,57982000000.0,0.0,9742000000.0,8643000000.0,1037000000.0,260000000.0,-24000000.0,26000000.0,2584000000.0,542000000.0,939000000.0,1015000000.0,301000000.0,140000000.0,4023000000.0,0.0,-2000000.0,0.0,0.0,-299000000.0,-301000000.0,-482000000.0,0.0,-1000000000.0,-224000000.0,-2149000000.0,-3855000000.0,0.0,-133000000.0,7490000000.0,7623000000.0,4023000000.0,-341000000.0,3682000000.0,0.0,
7,ADSK,Autodesk Inc. Common Stock,2022,1,2,1,2022-04-30,1170000000.0,117000000.0,1053000000.0,0.9,289000000.0,120000000.0,419000000.0,11000000.0,839000000.0,956000000.0,19000000.0,38000000.0,252000000.0,0.2153846153846154,214000000.0,0.1829059829059829,-19000000.0,195000000.0,0.1666666666666666,49000000.0,146000000.0,0.1247863247863247,0.67,0.67,217000000.0,219000000.0,1518000000.0,67000000.0,1585000000.0,384000000.0,0.0,389000000.0,2358000000.0,303000000.0,3642000000.0,479000000.0,4121000000.0,39000000.0,759000000.0,681000000.0,5903000000.0,0.0,8261000000.0,135000000.0,427000000.0,50000000.0,2809000000.0,380000000.0,3801000000.0,2626000000.0,940000000.0,34000000.0,179000000.0,3779000000.0,0.0,7580000000.0,2972000000.0,-2143000000.0,-148000000.0,0.0,681000000.0,8261000000.0,106000000.0,3053000000.0,1535000000.0,146000000.0,38000000.0,-22000000.0,152000000.0,120000000.0,332000000.0,0.0,-218000000.0,0.0,0.0,434000000.0,0.0,-96000000.0,-29000000.0,202000000.0,-46000000.0,31000000.0,0.0,67000000.0,-457000000.0,0.0,-70000000.0,-460000000.0,-15000000.0,-10400000.0,1518000000.0,1528400000.0,434000000.0,-12000000.0,422000000.0,0.0,Software—Application
8,ADSK,Autodesk Inc. Common Stock,2022,2,1,1,2022-08-01,1237000000.0,119000000.0,1118000000.0,0.9037995149555376,306000000.0,128000000.0,433000000.0,9000000.0,876000000.0,995000000.0,20000000.0,38000000.0,290000000.0,0.2344381568310428,242000000.0,0.1956345998383185,-10000000.0,232000000.0,0.1875505254648342,46000000.0,186000000.0,0.1503637833468067,0.86,0.85,217000000.0,218000000.0,1440000000.0,85000000.0,1525000000.0,434000000.0,0.0,370000000.0,2329000000.0,446000000.0,3612000000.0,451000000.0,4063000000.0,46000000.0,790000000.0,553000000.0,5898000000.0,0.0,8227000000.0,109000000.0,430000000.0,16000000.0,2709000000.0,378000000.0,3642000000.0,2615000000.0,994000000.0,37000000.0,199000000.0,3845000000.0,0.0,7487000000.0,3089000000.0,-2180000000.0,-169000000.0,0.0,740000000.0,8227000000.0,131000000.0,3045000000.0,1605000000.0,186000000.0,38000000.0,-21000000.0,170000000.0,-85000000.0,-51000000.0,0.0,19000000.0,-39000000.0,-31000000.0,257000000.0,0.0,0.0,-68000000.0,43000000.0,-29000000.0,-54000000.0,0.0,0.0,-251000000.0,0.0,-22000000.0,-273000000.0,-8000000.0,-78000000.0,1440000000.0,1518000000.0,257000000.0,-12000000.0,245000000.0,0.0,Software—Application
9,ADSK,Autodesk Inc. Common Stock,2022,3,578,1,2022-11-01,1280000000.0,120000000.0,1160000000.0,0.90625,311000000.0,129000000.0,454000000.0,10000000.0,904000000.0,1024000000.0,20000000.0,37000000.0,299000000.0,0.23359375,256000000.0,0.2,-14000000.0,242000000.0,0.1890625,44000000.0,198000000.0,0.1546875,0.92,0.91,216000000.0,217000000.0,1665000000.0,139000000.0,1804000000.0,642000000.0,0.0,342000000.0,2788000000.0,420000000.0,3577000000.0,423000000.0,4000000000.0,37000000.0,836000000.0,554000000.0,5847000000.0,0.0,8635000000.0,134000000.0,432000000.0,40000000.0,2731000000.0,474000000.0,3811000000.0,2603000000.0,1052000000.0,44000000.0,219000000.0,3918000000.0,0.0,7729000000.0,3213000000.0,-2100000000.0,-207000000.0,0.0,906000000.0,8635000000.0,176000000.0,3035000000.0,1370000000.0,198000000.0,37000000.0,-55000000.0,171000000.0,82000000.0,-211000000.0,0.0,123000000.0,91000000.0,36000000.0,469000000.0,0.0,0.0,-102000000.0,57000000.0,-16000000.0,-61000000.0,0.0,57000000.0,-186000000.0,0.0,-35000000.0,-164000000.0,-19000000.0,225000000.0,1665000000.0,1440000000.0,469000000.0,-10000000.0,459000000.0,0.0,Software—Application
