,Symbol,Company,Year,Quarter,Number of Workers,Number of Layoffs,statement_date,revenue,costOfRevenue,grossProfit,grossProfitRatio,ResearchAndDevelopmentExpenses,GeneralAndAdministrativeExpenses,SellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,EBITDA,EBITDARatio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,EPS,EPSDiluted,weightedAverageShsOut,weightedAverageShsOutDil,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferrredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,netIncome_cash-flow-statement,depreciationAndAmortization_cash-flow-statement,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory_cash-flow-statement,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivites,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,employee_count,industry
0,AAL,American Airlines Group Inc. Common Stock,2019,2,70,1,2019-06-30,11960000000.0,9014000000.0,2946000000.0,0.2463210702341137,0.0,0.0,401000000.0,1271000000.0,1672000000.0,10686000000.0,275000000.0,0.0,1157000000.0,0.0967391304347826,1153000000.0,0.0964046822742474,-271000000.0,882000000.0,0.0737458193979933,220000000.0,662000000.0,0.0553511705685618,1.49,1.49,445008000.0,445587000.0,319000000.0,5088000000.0,5407000000.0,1943000000.0,1708000000.0,792000000.0,9850000000.0,43804000000.0,4091000000.0,2105000000.0,6196000000.0,0.0,792000000.0,1325000000.0,52117000000.0,0.0,61967000000.0,2118000000.0,5139000000.0,0.0,9266000000.0,3600000000.0,20123000000.0,29609000000.0,5249000000.0,0.0,7008000000.0,41866000000.0,0.0,61989000000.0,5000000.0,1514000000.0,-5927000000.0,4386000000.0,-22000000.0,61967000000.0,0.0,34748000000.0,34429000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,736000000.0,736000000.0,0.0,0.0,-1630000000.0,560000000.0,-863000000.0,-1933000000.0,-932000000.0,0.0,-17000000.0,-44000000.0,2172000000.0,1179000000.0,0.0,-18000000.0,330000000.0,348000000.0,736000000.0,-1018000000.0,-282000000.0,0.0,
1,AAPL,Apple Inc. Common Stock,2018,2,52,1,2018-06-30,53265000000.0,32844000000.0,20421000000.0,0.3833849619825401,3701000000.0,0.0,0.0,0.0,7809000000.0,40653000000.0,846000000.0,2665000000.0,16795000000.0,0.3153102412465972,12612000000.0,0.2367783722894959,672000000.0,13284000000.0,0.2493945367502112,1765000000.0,11519000000.0,0.2162583309865765,0.59,0.585,19528668000.0,19706436000.0,31971000000.0,38999000000.0,70970000000.0,26367000000.0,5936000000.0,12488000000.0,115761000000.0,38117000000.0,0.0,0.0,0.0,172773000000.0,0.0,22546000000.0,233436000000.0,0.0,349197000000.0,38489000000.0,17472000000.0,0.0,7403000000.0,25184000000.0,88548000000.0,97128000000.0,2878000000.0,398000000.0,45296000000.0,145700000000.0,0.0,234248000000.0,38624000000.0,79436000000.0,-3111000000.0,0.0,114949000000.0,349197000000.0,211772000000.0,114600000000.0,82629000000.0,11519000000.0,2665000000.0,1126000000.0,1351000000.0,-1914000000.0,233000000.0,1693000000.0,2081000000.0,-581000000.0,-259000000.0,14488000000.0,-3267000000.0,-126000000.0,-9472000000.0,17388000000.0,-576000000.0,3947000000.0,-6000000000.0,1000000.0,-20783000000.0,-3653000000.0,-1088000000.0,-31523000000.0,0.0,-13088000000.0,31971000000.0,45059000000.0,14488000000.0,-3267000000.0,11221000000.0,132000.0,Consumer Electronics
2,AAPL,Apple Inc. Common Stock,2019,1,190,1,2019-03-30,58015000000.0,36194000000.0,21821000000.0,0.3761268637421356,3948000000.0,0.0,0.0,0.0,8406000000.0,44600000000.0,1010000000.0,3040000000.0,17843000000.0,0.3075583900715332,13415000000.0,0.2312333017323106,378000000.0,13793000000.0,0.2377488580539515,2232000000.0,11561000000.0,0.1992760492975954,0.6175,0.615,18696284000.0,18802584000.0,37988000000.0,42104000000.0,80092000000.0,26278000000.0,4884000000.0,12092000000.0,123346000000.0,38746000000.0,0.0,0.0,0.0,145319000000.0,0.0,34587000000.0,218652000000.0,0.0,341998000000.0,30443000000.0,22429000000.0,0.0,5532000000.0,35368000000.0,93772000000.0,90201000000.0,0.0,0.0,52165000000.0,142366000000.0,0.0,236138000000.0,42801000000.0,64558000000.0,-1499000000.0,0.0,105860000000.0,341998000000.0,187423000000.0,112630000000.0,74642000000.0,11561000000.0,3040000000.0,-177000000.0,1514000000.0,-4622000000.0,2964000000.0,70000000.0,-11523000000.0,-170000000.0,-161000000.0,11155000000.0,-2363000000.0,-124000000.0,-6840000000.0,22589000000.0,86000000.0,13348000000.0,0.0,0.0,-23702000000.0,-3443000000.0,-2312000000.0,-29457000000.0,0.0,-4954000000.0,39817000000.0,44771000000.0,11155000000.0,-2363000000.0,8792000000.0,137000.0,Consumer Electronics
3,AB,AllianceBernstein Holding L.P.  Units,2018,4,35,1,2018-12-31,66759000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66759000.0,1.0,0.0,0.0,0.0,66759000.0,1.0,6879000.0,59880000.0,0.8969577135667101,0.627539,0.627539,95418778.0,95578321.0,640206000.0,0.0,640206000.0,0.0,0.0,529348000.0,1169554000.0,0.0,0.0,0.0,0.0,1490701000.0,0.0,-1169554000.0,321147000.0,0.0,1490701000.0,0.0,0.0,0.0,0.0,412313000.0,412313000.0,0.0,0.0,0.0,0.0,0.0,0.0,644000.0,1557277000.0,0.0,-39000000.0,-28220000.0,1490057000.0,1490701000.0,0.0,546267000.0,-93939000.0,59880000.0,0.0,0.0,0.0,119000.0,0.0,0.0,0.0,757241000.0,5976000.0,65975000.0,0.0,-5787000.0,0.0,0.0,0.0,-5787000.0,0.0,0.0,0.0,-66052000.0,5864000.0,-60188000.0,0.0,0.0,0.0,0.0,65975000.0,0.0,65975000.0,3641.0,
4,ACCO,Acco Brands Corporation Common Stock,2018,1,26,1,2018-03-31,405800000.0,278300000.0,127500000.0,0.3141941843272548,0.0,0.0,0.0,9300000.0,111100000.0,389400000.0,9400000.0,18300000.0,33800000.0,0.0832922621981271,11700000.0,0.0288319369147363,-5600000.0,6100000.0,0.0150320354854608,-4300000.0,10400000.0,0.0256283883686545,0.1,0.09,106800000.0,110000000.0,122700000.0,0.0,122700000.0,316100000.0,294500000.0,51500000.0,784800000.0,280300000.0,667900000.0,838100000.0,1506000000.0,0.0,132900000.0,50700000.0,1969900000.0,0.0,2754700000.0,188600000.0,42700000.0,0.0,0.0,257800000.0,489100000.0,908400000.0,0.0,174800000.0,417400000.0,1500600000.0,0.0,1989700000.0,1100000.0,-733900000.0,-467400000.0,1965200000.0,765000000.0,2754700000.0,0.0,951100000.0,828400000.0,10400000.0,18300000.0,0.0,3200000.0,27900000.0,162000000.0,-43500000.0,8800000.0,0.0,600000.0,60400000.0,-8000000.0,0.0,0.0,0.0,0.0,-8000000.0,-11600000.0,0.0,-9100000.0,-6400000.0,20100000.0,-7000000.0,400000.0,45800000.0,122700000.0,76900000.0,60400000.0,-8000000.0,52400000.0,6700.0,
5,ACCO,Acco Brands Corporation Common Stock,2018,3,54,1,2018-09-30,507300000.0,346500000.0,160800000.0,0.3169722057953873,0.0,0.0,0.0,9400000.0,102200000.0,448700000.0,11600000.0,17400000.0,78000000.0,0.1537551744529864,57500000.0,0.1133451606544451,-8500000.0,49000000.0,0.0965897890794401,13400000.0,35600000.0,0.0701754385964912,0.34,0.34,103800000.0,105900000.0,95000000.0,0.0,95000000.0,421200000.0,332100000.0,48300000.0,896600000.0,266200000.0,684400000.0,802000000.0,1486400000.0,0.0,118200000.0,35800000.0,1906600000.0,0.0,2803200000.0,211500000.0,54800000.0,0.0,0.0,282900000.0,549200000.0,958600000.0,0.0,173900000.0,372400000.0,1504900000.0,0.0,2054100000.0,1100000.0,-685600000.0,-470700000.0,1904300000.0,749100000.0,2803200000.0,0.0,1013400000.0,918400000.0,35600000.0,17400000.0,0.0,-1200000.0,38900000.0,38400000.0,-6500000.0,-20900000.0,0.0,500000.0,91200000.0,-9300000.0,0.0,0.0,0.0,-37100000.0,-46400000.0,-63800000.0,0.0,-24800000.0,-6200000.0,6600000.0,-88200000.0,-800000.0,-44200000.0,95000000.0,139200000.0,91200000.0,-9300000.0,81900000.0,6700.0,
6,ACCO,Acco Brands Corporation Common Stock,2019,3,62,1,2019-09-30,505700000.0,349800000.0,155900000.0,0.3082855447894008,0.0,0.0,0.0,8600000.0,105000000.0,454800000.0,11500000.0,17400000.0,69100000.0,0.1366422780304528,48800000.0,0.0964999011271504,-8600000.0,40200000.0,0.0794937710104805,12200000.0,28000000.0,0.0553687957286929,0.29,0.28,97600000.0,98900000.0,37700000.0,0.0,37700000.0,377400000.0,312500000.0,45300000.0,772900000.0,355200000.0,709700000.0,756800000.0,1466500000.0,0.0,105000000.0,22500000.0,1949200000.0,0.0,2722100000.0,175700000.0,55800000.0,0.0,0.0,246100000.0,477600000.0,967100000.0,0.0,183000000.0,327500000.0,1477600000.0,0.0,1955200000.0,1000000.0,-611300000.0,-478400000.0,1855600000.0,766900000.0,2722100000.0,0.0,1022900000.0,985200000.0,28000000.0,17400000.0,0.0,900000.0,143500000.0,83700000.0,61400000.0,-27700000.0,0.0,1000000.0,190800000.0,-7200000.0,0.0,0.0,0.0,-42300000.0,-49500000.0,-174200000.0,0.0,-18900000.0,-5900000.0,3000000.0,-196000000.0,-1700000.0,-56400000.0,37700000.0,94100000.0,190800000.0,-7200000.0,183600000.0,7000.0,
7,ACM,AECOM Common Stock,2018,2,346,1,2018-06-30,5147920000.0,4962741000.0,185179000.0,0.035971615720524,0.0,35159000.0,0.0,0.0,35159000.0,4997900000.0,55213000.0,66658000.0,215912000.0,0.0419415997140592,160734000.0,0.0312230959300066,-52461000.0,108273000.0,0.0210323781255341,33131000.0,60910000.0,0.0118319632006713,0.38,0.37,160395000.0,163213000.0,801419000.0,0.0,801419000.0,5527319000.0,0.0,715104000.0,7043842000.0,607151000.0,5928029000.0,343200000.0,6271229000.0,398134000.0,181564000.0,225512000.0,7683590000.0,0.0,14727432000.0,2517234000.0,172979000.0,28493000.0,1822078000.0,1349286000.0,5890070000.0,3707293000.0,0.0,14354000.0,855566000.0,4577213000.0,0.0,10467283000.0,1607000.0,1014131000.0,-758287000.0,3820281000.0,4077732000.0,14545015000.0,0.0,3880272000.0,3078853000.0,60910000.0,66658000.0,0.0,17145000.0,-66838000.0,-205736000.0,0.0,209044000.0,-27371000.0,-6031000.0,71844000.0,0.0,11837000.0,0.0,2577000.0,-43668000.0,-29254000.0,-1818385000.0,11730000.0,-2105000.0,0.0,1709244000.0,-99516000.0,-8880000.0,-65806000.0,801419000.0,867225000.0,71844000.0,-33053000.0,38791000.0,87000.0,Engineering & Construction
8,ACM,AECOM Common Stock,2019,1,237,1,2019-03-31,5040022000.0,4844660000.0,195362000.0,0.0387621323875173,0.0,37426000.0,0.0,0.0,37426000.0,4882086000.0,57828000.0,65556000.0,222172000.0,0.0440815536122659,168024000.0,0.0333379497152988,-53562000.0,114462000.0,0.0227106151520767,20943000.0,77845000.0,0.0154453690876746,0.5,0.49,156621000.0,158416000.0,826878000.0,0.0,826878000.0,5766534000.0,0.0,647228000.0,7240640000.0,596374000.0,5908248000.0,277200000.0,6185448000.0,338431000.0,163707000.0,212415000.0,7496375000.0,0.0,14737015000.0,2581347000.0,158312000.0,36305000.0,1834201000.0,1280022000.0,5890187000.0,3733642000.0,0.0,8343000.0,709977000.0,4451962000.0,0.0,10342149000.0,1573000.0,1005086000.0,-711021000.0,3904298000.0,4199936000.0,14542085000.0,0.0,3891954000.0,3065076000.0,77845000.0,65556000.0,0.0,16162000.0,-70562000.0,-146610000.0,0.0,-29827000.0,-44801000.0,18437000.0,107438000.0,0.0,-24924000.0,0.0,1821000.0,-22543000.0,-45646000.0,-2269955000.0,9057000.0,-30227000.0,0.0,2216527000.0,-74598000.0,1382000.0,-11424000.0,826878000.0,838302000.0,107438000.0,-26241000.0,81197000.0,86000.0,Engineering & Construction
9,ACM,AECOM Common Stock,2019,2,30,1,2019-06-30,4980204000.0,4770960000.0,209244000.0,0.0420151463674982,0.0,37534000.0,0.0,0.0,37534000.0,4808494000.0,55764000.0,64768000.0,240873000.0,0.0483660910275964,192869000.0,0.0387271284469471,-50878000.0,141991000.0,0.0285110810721809,36603000.0,83738000.0,0.0168141706644948,0.53,0.52,157429000.0,159787000.0,793567000.0,0.0,793567000.0,5870786000.0,0.0,607472000.0,7271825000.0,603480000.0,5906484000.0,255200000.0,6161684000.0,391520000.0,160289000.0,206401000.0,7523374000.0,0.0,14795199000.0,2609905000.0,159635000.0,43351000.0,1850644000.0,1277170000.0,5940705000.0,3653291000.0,0.0,5168000.0,699036000.0,4357495000.0,0.0,10298200000.0,1577000.0,1088824000.0,-718396000.0,3930999000.0,4303004000.0,14601204000.0,0.0,3812926000.0,3019359000.0,83738000.0,64768000.0,0.0,15656000.0,-100598000.0,-107564000.0,0.0,27324000.0,5942000.0,13293000.0,76857000.0,0.0,46000.0,0.0,6361000.0,-24670000.0,-18263000.0,-1993945000.0,9827000.0,-109000.0,0.0,1892001000.0,-92226000.0,321000.0,-33311000.0,793567000.0,826878000.0,76857000.0,-27548000.0,49309000.0,86000.0,Engineering & Construction
