,Year,Quarter,Number of Workers,Number of Layoffs,revenue,costOfRevenue,grossProfit,grossProfitRatio,ResearchAndDevelopmentExpenses,GeneralAndAdministrativeExpenses,SellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,EBITDA,EBITDARatio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,EPS,EPSDiluted,weightedAverageShsOut,weightedAverageShsOutDil,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferrredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,netIncome_cash-flow-statement,depreciationAndAmortization_cash-flow-statement,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory_cash-flow-statement,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivites,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,employee_count,percent_layoff,industry_labelled,new_cases,new_cases_smoothed,new_cases_per_million,new_deaths,new_deaths_smoothed,new_deaths_per_million
0,2005,4,18,1,1658000000.0,907000000.0,751000000.0,0.4529553679131484,232000000.0,424000000.0,0.0,0.0,656000000.0,1563000000.0,0.0,63000000.0,187000000.0,0.1127864897466827,95000000.0,0.05729794933655,29000000.0,124000000.0,0.0747889022919179,21000000.0,103000000.0,0.0621230398069963,0.21,0.21,491000000.0,496000000.0,2483000000.0,0.0,2483000000.0,946000000.0,1037000000.0,183000000.0,4649000000.0,1235000000.0,0.0,459000000.0,459000000.0,0.0,0.0,807000000.0,2501000000.0,0.0,7150000000.0,408000000.0,0.0,0.0,295000000.0,1068000000.0,1771000000.0,1150000000.0,0.0,0.0,461000000.0,1611000000.0,0.0,3382000000.0,5000000.0,-1707000000.0,215000000.0,5255000000.0,3768000000.0,7150000000.0,0.0,1150000000.0,-1333000000.0,103000000.0,63000000.0,8000000.0,0.0,-56000000.0,0.0,-32000000.0,0.0,-21000000.0,19000000.0,137000000.0,-44000000.0,0.0,0.0,10000000.0,-23000000.0,-57000000.0,0.0,58000000.0,0.0,0.0,23000000.0,81000000.0,7000000.0,168000000.0,2483000000.0,2315000000.0,137000000.0,-44000000.0,93000000.0,21000.0,0.0008571428571428571,0,0.0,0.0,0.0,0.0,0.0,0.0
1,2008,4,120,1,1393000000.0,637000000.0,756000000.0,0.542713567839196,181000000.0,441000000.0,0.0,0.0,622000000.0,1259000000.0,0.0,49000000.0,196000000.0,0.1407035175879397,134000000.0,0.0961952620244077,13000000.0,147000000.0,0.1055276381909547,27000000.0,120000000.0,0.0861450107681263,0.32,0.31,371000000.0,382000000.0,1385000000.0,172000000.0,1557000000.0,726000000.0,674000000.0,2113000000.0,5070000000.0,801000000.0,605000000.0,236000000.0,841000000.0,0.0,0.0,747000000.0,2389000000.0,0.0,7459000000.0,303000000.0,1500000000.0,0.0,277000000.0,594000000.0,2674000000.0,626000000.0,0.0,0.0,986000000.0,1612000000.0,0.0,4286000000.0,6000000.0,2218000000.0,439000000.0,510000000.0,3173000000.0,7459000000.0,0.0,2126000000.0,741000000.0,120000000.0,49000000.0,6000000.0,0.0,-208000000.0,0.0,-31000000.0,0.0,-9000000.0,37000000.0,4000000.0,-34000000.0,-113000000.0,-255000000.0,79000000.0,28000000.0,-295000000.0,0.0,69000000.0,-237000000.0,0.0,0.0,-168000000.0,18000000.0,-441000000.0,1385000000.0,1826000000.0,4000000.0,-34000000.0,-30000000.0,19600.0,0.006122448979591836,0,0.0,0.0,0.0,0.0,0.0,0.0
2,2015,4,415,1,2451000000.0,2157000000.0,294000000.0,0.1199510403916768,15000000.0,0.0,0.0,186000000.0,293000000.0,2450000000.0,62000000.0,186000000.0,-486000000.0,-0.1982864137086903,1000000.0,0.0004079967360261,-799000000.0,-798000000.0,-0.3255813953488372,92000000.0,-826000000.0,-0.3370053039575683,-4.52851,-4.52851,182400000.0,182400000.0,557000000.0,0.0,557000000.0,504000000.0,1172000000.0,333000000.0,2566000000.0,9390000000.0,152000000.0,53000000.0,205000000.0,1472000000.0,589000000.0,2191000000.0,13847000000.0,0.0,16413000000.0,1379000000.0,18000000.0,136000000.0,0.0,871000000.0,2404000000.0,207000000.0,84000000.0,0.0,2205000000.0,2496000000.0,0.0,4900000000.0,11042000000.0,0.0,-1600000000.0,0.0,9442000000.0,14342000000.0,0.0,225000000.0,-332000000.0,-826000000.0,186000000.0,103000000.0,4000000.0,-58000000.0,0.0,120000000.0,-48000000.0,-207000000.0,644000000.0,53000000.0,0.0,0.0,-27000000.0,0.0,-133000000.0,-160000000.0,-4000000.0,0.0,0.0,0.0,127000000.0,123000000.0,20000000.0,36000000.0,557000000.0,521000000.0,53000000.0,-133000000.0,-80000000.0,0.0,,1,0.0,0.0,0.0,0.0,0.0,0.0
3,2006,2,61,2,5975000000.0,3725000000.0,2250000000.0,0.3765690376569037,0.0,2449000000.0,-286000000.0,3819000000.0,5982000000.0,9707000000.0,0.0,-291000000.0,0.0,0.0,476000000.0,0.0796652719665272,-185000000.0,291000000.0,0.0487029288702928,0.0,291000000.0,0.0487029288702928,3.855422,3.052209,75478125.0,95340789.0,167000000.0,4986000000.0,5153000000.0,1121000000.0,510000000.0,1056000000.0,7840000000.0,18218000000.0,0.0,1181000000.0,1181000000.0,0.0,0.0,3513000000.0,22912000000.0,0.0,30752000000.0,1263000000.0,1152000000.0,0.0,0.0,6817000000.0,9232000000.0,12968000000.0,0.0,0.0,9060000000.0,22028000000.0,0.0,31260000000.0,218000000.0,-1974000000.0,-947000000.0,2195000000.0,-508000000.0,30752000000.0,0.0,14120000000.0,13953000000.0,291000000.0,0.0,0.0,0.0,531000000.0,0.0,0.0,0.0,531000000.0,0.0,822000000.0,-141000000.0,0.0,-862000000.0,0.0,-18000000.0,-1021000000.0,-247000000.0,442000000.0,0.0,0.0,27000000.0,222000000.0,0.0,23000000.0,167000000.0,144000000.0,822000000.0,-141000000.0,681000000.0,118033.0,0.0005168046224360984,2,0.0,0.0,0.0,0.0,0.0,0.0
4,2008,3,737,5,6421000000.0,2695000000.0,3726000000.0,0.58028344494627,0.0,1633000000.0,264000000.0,1086000000.0,2983000000.0,5678000000.0,180000000.0,289000000.0,514000000.0,0.0800498364740694,-216000000.0,-0.0336396199968852,261000000.0,45000000.0,0.0070082541660177,0.0,45000000.0,0.0070082541660177,0.455154,0.455154,96363000.0,100098000.0,273000000.0,4348000000.0,4621000000.0,1104000000.0,670000000.0,1112000000.0,7507000000.0,15928000000.0,0.0,0.0,1116000000.0,0.0,0.0,2399000000.0,19443000000.0,0.0,26950000000.0,1164000000.0,5995000000.0,0.0,0.0,2325000000.0,9484000000.0,9536000000.0,0.0,0.0,6996000000.0,16532000000.0,0.0,26016000000.0,285000000.0,-3121000000.0,368000000.0,3402000000.0,934000000.0,26950000000.0,0.0,15531000000.0,15258000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1184000000.0,-1184000000.0,0.0,0.0,0.0,0.0,649000000.0,649000000.0,-528000000.0,294000000.0,0.0,0.0,755000000.0,521000000.0,0.0,-14000000.0,273000000.0,287000000.0,-1184000000.0,-214000000.0,-1398000000.0,118033.0,0.0062440165038590905,2,0.0,0.0,0.0,0.0,0.0,0.0
5,2008,4,1,1,5469000000.0,1803000000.0,3666000000.0,0.6703236423477784,0.0,1720000000.0,217000000.0,1037000000.0,2974000000.0,4777000000.0,177000000.0,285000000.0,122000000.0,0.0223075516547814,-196000000.0,-0.0358383616748948,-144000000.0,-340000000.0,-0.0621685865788992,0.0,-340000000.0,-0.0621685865788992,-3.26275,-3.26275,104206500.0,104206500.0,191000000.0,2916000000.0,3107000000.0,811000000.0,525000000.0,1492000000.0,5935000000.0,15735000000.0,0.0,1109000000.0,1109000000.0,0.0,0.0,2396000000.0,19240000000.0,0.0,25175000000.0,952000000.0,5664000000.0,0.0,0.0,2758000000.0,9374000000.0,9001000000.0,297000000.0,0.0,9438000000.0,18736000000.0,0.0,28110000000.0,285000000.0,-3461000000.0,0.0,241000000.0,-2935000000.0,25175000000.0,0.0,14665000000.0,14474000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1364000000.0,-1364000000.0,0.0,0.0,-3000000.0,1432000000.0,-166000000.0,1263000000.0,-185000000.0,0.0,0.0,0.0,204000000.0,19000000.0,0.0,-82000000.0,191000000.0,273000000.0,-1364000000.0,-189000000.0,-1553000000.0,118033.0,8.472206925181941e-06,2,0.0,0.0,0.0,0.0,0.0,0.0
6,2009,2,514,1,4889000000.0,1307000000.0,3582000000.0,0.7326651667007568,0.0,1698000000.0,207000000.0,952000000.0,2857000000.0,4164000000.0,167000000.0,282000000.0,59000000.0,0.0120679075475557,-226000000.0,-0.0462262221313152,-164000000.0,-390000000.0,-0.0797709142974023,0.0,-390000000.0,-0.0797709142974023,-3.721553,-3.721553,104580000.0,104580000.0,191000000.0,2617000000.0,2808000000.0,780000000.0,535000000.0,1017000000.0,5140000000.0,15572000000.0,0.0,0.0,1098000000.0,0.0,0.0,2328000000.0,18998000000.0,0.0,24138000000.0,1143000000.0,5075000000.0,0.0,0.0,2052000000.0,8270000000.0,8864000000.0,0.0,0.0,10004000000.0,18868000000.0,0.0,27138000000.0,286000000.0,-4433000000.0,-2499000000.0,3646000000.0,-3000000000.0,24138000000.0,0.0,13939000000.0,13748000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479000000.0,479000000.0,0.0,0.0,2000000.0,60000000.0,-429000000.0,-367000000.0,-404000000.0,0.0,0.0,0.0,296000000.0,-108000000.0,0.0,4000000.0,191000000.0,187000000.0,479000000.0,-433000000.0,46000000.0,118033.0,0.004354714359543517,2,0.0,0.0,0.0,0.0,0.0,0.0
7,2012,2,551,2,6452000000.0,3029000000.0,3423000000.0,0.5305331680099195,0.0,1908000000.0,263000000.0,1004000000.0,3175000000.0,6204000000.0,152000000.0,261000000.0,172000000.0,0.0266584004959702,142000000.0,0.0220086794792312,-383000000.0,-241000000.0,-0.0373527588344699,0.0,-241000000.0,-0.0373527588344699,-1.927711,-1.927711,125122500.0,125122500.0,371000000.0,4609000000.0,4980000000.0,1129000000.0,593000000.0,1282000000.0,7984000000.0,13784000000.0,0.0,881000000.0,881000000.0,0.0,0.0,2077000000.0,16742000000.0,0.0,24726000000.0,1362000000.0,1654000000.0,0.0,0.0,7050000000.0,10066000000.0,6716000000.0,0.0,0.0,16912000000.0,23628000000.0,0.0,33694000000.0,341000000.0,-9487000000.0,-3930000000.0,4108000000.0,-8968000000.0,24726000000.0,0.0,8370000000.0,7999000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,655000000.0,655000000.0,0.0,0.0,-165000000.0,0.0,-450000000.0,-615000000.0,-288000000.0,0.0,0.0,0.0,244000000.0,-44000000.0,0.0,-4000000.0,371000000.0,375000000.0,655000000.0,-495000000.0,160000000.0,118033.0,0.0046681860157752495,2,0.0,0.0,0.0,0.0,0.0,0.0
8,2012,3,3239,5,6429000000.0,2993000000.0,3436000000.0,0.5344532586716441,0.0,1922000000.0,277000000.0,975000000.0,3174000000.0,6167000000.0,161000000.0,256000000.0,179000000.0,0.0278425882718929,51000000.0,0.0079328044797013,-289000000.0,-238000000.0,-0.0370197542386063,0.0,-238000000.0,-0.0370197542386063,-1.900937,-1.900937,125122500.0,125122500.0,508000000.0,3718000000.0,4226000000.0,1160000000.0,596000000.0,1321000000.0,7303000000.0,13620000000.0,0.0,875000000.0,875000000.0,0.0,0.0,2129000000.0,16624000000.0,0.0,23927000000.0,1283000000.0,1544000000.0,0.0,0.0,6759000000.0,9586000000.0,6489000000.0,0.0,0.0,15227000000.0,21716000000.0,0.0,31302000000.0,341000000.0,-9725000000.0,-2101000000.0,4110000000.0,-7375000000.0,23927000000.0,0.0,8033000000.0,7525000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-155000000.0,-155000000.0,0.0,0.0,815000000.0,0.0,-419000000.0,396000000.0,-389000000.0,0.0,0.0,0.0,285000000.0,-104000000.0,0.0,137000000.0,508000000.0,371000000.0,-155000000.0,-420000000.0,-575000000.0,118033.0,0.027441478230664305,2,0.0,0.0,0.0,0.0,0.0,0.0
9,2019,2,70,1,11960000000.0,9014000000.0,2946000000.0,0.2463210702341137,0.0,0.0,401000000.0,1271000000.0,1672000000.0,10686000000.0,275000000.0,0.0,1157000000.0,0.0967391304347826,1153000000.0,0.0964046822742474,-271000000.0,882000000.0,0.0737458193979933,220000000.0,662000000.0,0.0553511705685618,1.49,1.49,445008000.0,445587000.0,319000000.0,5088000000.0,5407000000.0,1943000000.0,1708000000.0,792000000.0,9850000000.0,43804000000.0,4091000000.0,2105000000.0,6196000000.0,0.0,792000000.0,1325000000.0,52117000000.0,0.0,61967000000.0,2118000000.0,5139000000.0,0.0,9266000000.0,3600000000.0,20123000000.0,29609000000.0,5249000000.0,0.0,7008000000.0,41866000000.0,0.0,61989000000.0,5000000.0,1514000000.0,-5927000000.0,4386000000.0,-22000000.0,61967000000.0,0.0,34748000000.0,34429000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,736000000.0,736000000.0,0.0,0.0,-1630000000.0,560000000.0,-863000000.0,-1933000000.0,-932000000.0,0.0,-17000000.0,-44000000.0,2172000000.0,1179000000.0,0.0,-18000000.0,330000000.0,348000000.0,736000000.0,-1018000000.0,-282000000.0,118033.0,0.0005930544847627359,2,0.0,0.0,0.0,0.0,0.0,0.0
