id1,id2,joinKey1,joinKey2,OG-Company-Warn,OG-Company-Nasdaq,jaccard
16611,BJ,"[bj,s,wholesale,club,inc]","[bj,s,wholesale,club,holdings,inc,common,stock]","Bj's Wholesale Club, Inc.",BJ's Wholesale Club Holdings Inc. Common Stock,0.625
19079,PH,"[parker,hannifin,corporation]","[parker,hannifin,corporation,common,stock]",Parker Hannifin Corporation,Parker-Hannifin Corporation Common Stock,0.6
20597,BA,"[the,boeing,company]","[boeing,company,the,common,stock]",The Boeing Company,Boeing Company (The) Common Stock,0.6
38999,CVGI,"[commercial,vehicle,group,inc]","[commercial,vehicle,group,inc,common,stock]","Commercial Vehicle Group, Inc.",Commercial Vehicle Group Inc. Common Stock,0.6666666666666666
8825,CRL,"[charles,river,laboratories,inc]","[charles,river,laboratories,international,inc,common,stock]","Charles River Laboratories, Inc.",Charles River Laboratories International Inc. Common Stock,0.5714285714285714
9668,TSN,"[tyson,foods,inc]","[tyson,foods,inc,common,stock]","Tyson Foods, Inc.",Tyson Foods Inc. Common Stock,0.6
9760,BA,"[the,boeing,company]","[boeing,company,the,common,stock]",The Boeing Company,Boeing Company (The) Common Stock,0.6
26798,IBM,"[international,business,machines,corporation,ibm]","[international,business,machines,corporation,common,stock]",International Business Machines Corporation (IBM),International Business Machines Corporation Common Stock,0.5714285714285714
3061,ADM,"[archer,daniels,midland,company,adm]","[archer,daniels,midland,company,common,stock]",Archer-Daniels-Midland Company (ADM),Archer-Daniels-Midland Company Common Stock,0.5714285714285714
41141,PLCE,"[the,children,s,place]","[children,s,place,inc,the,common,stock]",The Children's Place,Children's Place Inc. (The) Common Stock,0.5714285714285714
43671,SEE,"[sealed,air,corporation]","[sealed,air,corporation,common,stock]",Sealed Air Corporation,Sealed Air Corporation Common Stock,0.6
8551,FIX,"[california,comfort,systems,usa,inc]","[comfort,systems,usa,inc,common,stock]","California Comfort Systems USA, Inc.",Comfort Systems USA Inc. Common Stock,0.5714285714285714
9746,BSX,"[boston,scientific,corporation]","[boston,scientific,corporation,common,stock]",Boston Scientific Corporation,Boston Scientific Corporation Common Stock,0.6
