id1,id2,joinKey1,joinKey2,OG-Company-Warn,OG-Company-Nasdaq,jaccard
10532,BA,[boeing],[boeing],Boeing Company,Boeing Company (The) Common Stock,1.0
14197,LEG,"[leggett,platt]","[leggett,platt,incorporated]","Leggett & Platt, Inc.",Leggett & Platt Incorporated Common Stock,0.6666666666666666
16594,MHK,"[mohawk,industries]","[mohawk,industries]",Mohawk Industries,Mohawk Industries Inc. Common Stock,1.0
16611,BJ,"[bj,s,wholesale,club]","[bj,s,wholesale,club,holdings]","Bj's Wholesale Club, Inc.",BJ's Wholesale Club Holdings Inc. Common Stock,0.8
1697,WFC,"[wells,fargo]","[wells,fargo]",Wells Fargo,Wells Fargo & Company Common Stock,1.0
17641,CAT,[caterpillar],[caterpillar],Caterpillar,Caterpillar Inc. Common Stock,1.0
18026,BAC,"[bank,of,america]","[bank,of,america]",Bank Of America,Bank of America Corporation Common Stock,1.0
19079,PH,"[parker,hannifin]","[parker,hannifin]",Parker Hannifin Corporation,Parker-Hannifin Corporation Common Stock,1.0
19453,GPK,"[graphic,packaging]","[graphic,packaging,holding]",Graphic Packaging,Graphic Packaging Holding Company,0.6666666666666666
19492,CAT,[caterpillar],[caterpillar],Caterpillar,Caterpillar Inc. Common Stock,1.0
20597,BA,[boeing],[boeing],The Boeing Company,Boeing Company (The) Common Stock,1.0
22805,LEA,[lear],[lear],Lear Corporation,Lear Corporation Common Stock,1.0
23220,TMO,"[thermo,fisher,scientific]","[thermo,fisher,scientific]",Thermo Fisher Scientific,Thermo Fisher Scientific Inc Common Stock,1.0
37438,NSC,"[norfolk,southern]","[norfolk,southern]",Norfolk Southern,Norfolk Southern Corporation Common Stock,1.0
38540,BA,[boeing],[boeing],Boeing,Boeing Company (The) Common Stock,1.0
38999,CVGI,"[commercial,vehicle]","[commercial,vehicle]","Commercial Vehicle Group, Inc.",Commercial Vehicle Group Inc. Common Stock,1.0
43336,ATRA,"[atara,biotherapeutics]","[atara,biotherapeutics]",Atara Biotherapeutics,Atara Biotherapeutics Inc. Common Stock,1.0
43350,HCI,[hci],[hci],"HCI, LLC",HCI Group Inc. Common Stock,1.0
8825,CRL,"[charles,river,laboratories]","[charles,river,laboratories,international]","Charles River Laboratories, Inc.",Charles River Laboratories International Inc. Common Stock,0.75
9668,TSN,"[tyson,foods]","[tyson,foods]","Tyson Foods, Inc.",Tyson Foods Inc. Common Stock,1.0
9760,BA,[boeing],[boeing],The Boeing Company,Boeing Company (The) Common Stock,1.0
10446,NTAP,[netapp],[netapp],"NetApp, Inc.",NetApp Inc. Common Stock,1.0
1096,GES,[guess],[guess],"Guess?, Inc",Guess? Inc. Common Stock,1.0
11307,BA,[boeing],[boeing],Boeing Company,Boeing Company (The) Common Stock,1.0
11838,ARMK,[aramark],[aramark],ARAMARK,Aramark Common Stock,1.0
1248,TSLA,[tesla],[tesla],Tesla,Tesla Inc. Common Stock,1.0
138,KMT,[kennametal],[kennametal],KENNAMETAL,Kennametal Inc. Common Stock,1.0
1698,WFC,"[wells,fargo]","[wells,fargo]",Wells Fargo,Wells Fargo & Company Common Stock,1.0
17448,AVY,"[avery,dennison]","[avery,dennison]",Avery Dennison,Avery Dennison Corporation Common Stock,1.0
19664,GCI,[gannett],[gannett],"Gannett, Inc",Gannett Co. Inc. Common Stock,1.0
20040,SPR,"[spirit,aerosystems]","[spirit,aerosystems,holdings]","Spirit AeroSystems, Inc.",Spirit Aerosystems Holdings Inc. Common Stock,0.6666666666666666
20302,BA,[boeing],[boeing],Boeing,Boeing Company (The) Common Stock,1.0
21939,CIEN,[ciena],[ciena],Ciena Corporation,Ciena Corporation Common Stock,1.0
26653,PFE,[pfizer],[pfizer],"Pfizer, Inc.",Pfizer Inc. Common Stock,1.0
26798,IBM,"[international,business,machines,ibm]","[international,business,machines]",International Business Machines Corporation (IBM),International Business Machines Corporation Common Stock,0.75
3061,ADM,"[archer,daniels,midland,adm]","[archer,daniels,midland]",Archer-Daniels-Midland Company (ADM),Archer-Daniels-Midland Company Common Stock,0.75
