id1,Symbol,joinKey1,joinKey2,OG-Company-Warn,OG-Company-Nasdaq,jaccard
24726,BK,"[federal,reserve,bank,of,new,york]","[bank,of,new,york,mellon]",Federal Reserve Bank of New York,The Bank of New York Mellon Corporation Common Stock,0.5714285714285714
24490,CIK,"[credit,suisse,asset,management,csam]","[credit,suisse,asset,management,income,fund]",Credit Suisse Asset Management LLC (CSAM),Credit Suisse Asset Management Income Fund Inc. Common Stock,0.5714285714285714
26545,BK,"[marathon,bank,of,new,york,investors,bank]","[bank,of,new,york,mellon]",Marathon Bank of New York/Investors Bank,The Bank of New York Mellon Corporation Common Stock,0.5714285714285714
26964,BK,"[first,national,bank,of,new,york]","[bank,of,new,york,mellon]",First National Bank of New York,The Bank of New York Mellon Corporation Common Stock,0.5714285714285714
31322,GIII,"[g,iii,apparel,ltd,3,nyc,sites]","[g,iii,apparel,ltd]","G-III Apparel Group, Ltd. (3 NYC sites)",G-III Apparel Group LTD. Common Stock,0.5714285714285714
13897,RCL,"[royal,caribbean,cruises,ltd]","[d,b,a,royal,caribbean,cruises,ltd]",Royal Caribbean Cruises Ltd.,D/B/A Royal Caribbean Cruises Ltd. Common Stock,0.5714285714285714
29673,MTB,"[m,t,bank,mid,hudson]","[m,t,bank]",M&T Bank (Mid-Hudson),M&T Bank Corporation Common Stock,0.6
15290,DAL,"[delta,air,lines,pilot,base]","[delta,air,lines]","Delta Air Lines, Inc-Pilot Base",Delta Air Lines Inc. Common Stock,0.6
35414,JPM,"[jp,morgan,chase,san,antonio]","[jp,morgan,chase]",JP Morgan Chase & Co.-San Antonio,JP Morgan Chase & Co. Common Stock,0.6
1665,BMY,"[bristol,myers,squibb,and,myokardia]","[bristol,myers,squibb]",Bristol-Myers Squibb and MyoKardia Inc.,Bristol-Myers Squibb Company Common Stock,0.6
18489,KDP,"[keurig,dr,pepper,keurig,green,mountain]","[keurig,dr,pepper]","Keurig Dr Pepper Inc.; Keurig Green Mountain, Inc.",Keurig Dr Pepper Inc. Common Stock,0.6
2451,LYV,"[live,nation,entertainment,corporate,division]","[live,nation,entertainment]","Live Nation Entertainment, Inc Corporate Division",Live Nation Entertainment Inc. Common Stock,0.6
24267,DKS,"[canfield,s,sporting,goods]","[dick,s,sporting,goods]",Canfield's Sporting Goods,Dick's Sporting Goods Inc Common Stock,0.6
32816,SKX,"[blitz,u,s,a]","[skechers,u,s,a]",BLITZ U. S. A.,Skechers U.S.A. Inc. Common Stock,0.6
3608,SKX,"[makita,u,s,a]","[skechers,u,s,a]","Makita U.S.A., Inc.",Skechers U.S.A. Inc. Common Stock,0.6
16296,SKX,"[brandsmart,u,s,a]","[skechers,u,s,a]",BrandsMart U.S.A.,Skechers U.S.A. Inc. Common Stock,0.6
617,AAP,"[advance,auto,parts,distribution,center]","[advance,auto,parts]",ADVANCE AUTO PARTS DISTRIBUTION CENTER,Advance Auto Parts Inc.,0.6
4175,LYV,"[live,nation,entertainment,purchasing,department]","[live,nation,entertainment]","Live Nation Entertainment, Inc. -- Purchasing Department",Live Nation Entertainment Inc. Common Stock,0.6
30805,BBBY,"[bed,bath,beyond,capital,region]","[bed,bath,beyond]",Bed Bath & Beyond (Capital Region),Bed Bath & Beyond Inc. Common Stock,0.6
24556,BAC,"[bank,of,america,specialist,organization]","[bank,of,america]",Bank of America Specialist Organization,Bank of America Corporation Common Stock,0.6
