# CSV-File created with merge-csv.com
# -----------------------------------------------------------

id1,id2,joinKey1,joinKey2,OG-Company-Warn,OG-Company-Nasdaq,jaccard
16611,BJ,"[bj,s,wholesale,club,inc]","[bj,s,wholesale,club,holdings,inc,common,stock]","Bj's Wholesale Club, Inc.",BJ's Wholesale Club Holdings Inc. Common Stock,0.625
17240,DAL,"[delta,air,lines,inc]","[delta,air,lines,inc,common,stock]","Delta Air Lines, Inc.",Delta Air Lines Inc. Common Stock,0.6666666666666666
22642,BLMN,"[bloomin,brands,inc]","[bloomin,brands,inc,common,stock]","Bloomin Brands, Inc.",Bloomin' Brands Inc. Common Stock,0.6
40196,HAIN,"[hain,celestial,group,inc]","[hain,celestial,group,inc,the,common,stock]","Hain Celestial Group, Inc.",Hain Celestial Group Inc. (The) Common Stock,0.5714285714285714
9404,T,"[at,t,communications,inc]","[at,t,inc]","AT&T Communications, Inc.",AT&T Inc.,0.75
32900,FLWS,"[1,800,flowers,com]","[1,800,flowers,com,inc,common,stock]",1-800-flowers.com,1-800-FLOWERS.COM Inc. Common Stock,0.5714285714285714
230,BA,"[the,boeing,company]","[boeing,company,the,common,stock]",THE BOEING COMPANY,Boeing Company (The) Common Stock,0.6
19175,ADVWW,"[advantage,health,solutions,inc]","[advantage,solutions,inc,warrant]","ADVANTAGE Health Solutions, Inc",Advantage Solutions Inc. Warrant,0.6
1973,PBI,"[pitney,bowes,inc]","[pitney,bowes,inc,common,stock]","Pitney Bowes, Inc.",Pitney Bowes Inc. Common Stock,0.6
475,DLA,"[delta,apparel,inc]","[delta,apparel,inc,common,stock]","DELTA APPAREL, INC.",Delta Apparel Inc. Common Stock,0.6
38145,PLAY,"[dave,buster,s,inc]","[dave,buster,s,entertainment,inc,common,stock]","Dave & Buster's, Inc",Dave & Buster's Entertainment Inc. Common Stock,0.5714285714285714
40299,SAVE,"[spirit,airlines,inc]","[spirit,airlines,inc,common,stock]","Spirit Airlines, Inc,",Spirit Airlines Inc. Common Stock,0.6
40311,SAVE,"[spirit,airlines,inc]","[spirit,airlines,inc,common,stock]",Spirit Airlines Inc.,Spirit Airlines Inc. Common Stock,0.6
43347,TMPOW,"[tempo,automation,inc]","[tempo,automation,holdings,inc,warrant]","Tempo Automation, Inc.",Tempo Automation Holdings Inc. Warrant,0.6
10020,MU,"[micron,technology,inc]","[micron,technology,inc,common,stock]","Micron Technology, Inc.",Micron Technology Inc. Common Stock,0.6
15267,KO,"[the,coca,cola,company]","[coca,cola,company,the,common,stock]",The Coca-Cola Company,Coca-Cola Company (The) Common Stock,0.6666666666666666
18983,HAYN,"[haynes,international,inc]","[haynes,international,inc,common,stock]","Haynes International, Inc.",Haynes International Inc. Common Stock,0.6
21315,TROW,"[t,rowe,price,group,inc]","[t,rowe,price,group,inc,common,stock]","T.Rowe Price Group, Inc.",T. Rowe Price Group Inc. Common Stock,0.7142857142857143
24385,GEO,"[the,geo,group]","[geo,group,inc,the,reit]",The Geo Group,Geo Group Inc (The) REIT,0.6
24712,SMP,"[standard,motor,products,inc,smp]","[standard,motor,products,inc,common,stock]","Standard Motor Products, Inc. (SMP)",Standard Motor Products Inc. Common Stock,0.5714285714285714
8583,GPN,"[global,payments,inc]","[global,payments,inc,common,stock]",Global Payments Inc.,Global Payments Inc. Common Stock,0.6
17377,T,"[at,t]","[at,t,inc]",At & T,AT&T Inc.,0.6666666666666666
7280,HON,"[honeywell,international,inc]","[honeywell,international,inc,common,stock]",Honeywell International Inc.,Honeywell International Inc. Common Stock,0.6
18220,MU,"[micron,technology,inc]","[micron,technology,inc,common,stock]",Micron Technology Inc,Micron Technology Inc. Common Stock,0.6
18839,AYI,"[acuity,brands,lighting,inc]","[acuity,brands,inc]","Acuity Brands Lighting, Inc.",Acuity Brands Inc.,0.75
19415,F,"[ford,motor,company]","[ford,motor,company,common,stock]",Ford Motor Company,Ford Motor Company Common Stock,0.6
32159,BHE,"[benchmark,electronics,inc]","[benchmark,electronics,inc,common,stock]",Benchmark Electronics Inc,Benchmark Electronics Inc. Common Stock,0.6
43496,LSF,"[laird,superfood,inc]","[laird,superfood,inc,common,stock]","Laird Superfood, Inc",Laird Superfood Inc. Common Stock,0.6
10222,CAG,"[conagra,brands,inc]","[conagra,brands,inc,common,stock]","Conagra Brands, Inc.",ConAgra Brands Inc. Common Stock,0.6
17726,HVT/A,"[haverty,furniture,companies,inc]","[haverty,furniture,companies,inc]","Haverty Furniture Companies, Inc.",Haverty Furniture Companies Inc.,1.0
